epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.7384,2.85527,64.9033,2.30326,0,0,0,0,nan,nan,nan,0.000664151,0.000664151,0.000664151
2,96.7601,3.36776,4.96983,2.68326,0,0,0,0,3.67782,5.11677,2.97429,0.00132423,0.00132423,0.00132423
3,139.105,3.03424,4.57639,2.3544,0,0,0,0,4.54837,7.44045,21.0294,0.00197771,0.00197771,0.00197771
4,181.372,3.06857,4.49134,2.44189,0.00019,0.0354,1e-05,0,3.57946,6.71441,2.98192,0.0019703,0.0019703,0.0019703
5,223.322,2.89566,4.3356,2.32899,0.0032,0.02655,0.00011,2e-05,3.31544,4.80348,2.78619,0.0019604,0.0019604,0.0019604
6,265.752,3.01566,4.41348,2.43702,0.00216,0.0708,0.0002,5e-05,3.1678,4.59395,2.82253,0.0019505,0.0019505,0.0019505
7,308.149,2.93602,4.28616,2.3314,0.00401,0.06195,0.00264,0.00054,3.1686,4.73673,2.73261,0.0019406,0.0019406,0.0019406
8,350.178,2.81043,4.10387,2.25032,0.00203,0.0354,0.00025,4e-05,3.62775,5.62246,2.78356,0.0019307,0.0019307,0.0019307
9,392.05,2.85422,4.14186,2.26648,0.00214,0.0531,0.00222,0.00067,3.09657,4.58721,2.60743,0.0019208,0.0019208,0.0019208
10,434.442,2.95047,4.21127,2.37324,0.00162,0.30973,0.00103,0.00017,3.31406,4.38775,2.77051,0.0019109,0.0019109,0.0019109
11,476.546,2.91468,4.2294,2.35474,0.006,0.20354,0.00447,0.00092,3.28891,4.91142,2.79669,0.001901,0.001901,0.001901
12,519.07,2.96807,4.21818,2.37513,0,0,0,0,3.27346,5.47167,2.77225,0.0018911,0.0018911,0.0018911
13,561.066,2.76369,3.97898,2.26945,0.01478,0.23894,0.01377,0.00338,3.18185,4.5967,2.66114,0.0018812,0.0018812,0.0018812
14,603.559,2.75562,3.97876,2.20505,0.01266,0.38938,0.01276,0.00468,2.92401,4.14898,2.51533,0.0018713,0.0018713,0.0018713
15,646.018,2.7581,3.94787,2.24044,0.00503,0.38938,0.01148,0.00314,3.01807,4.11232,2.55884,0.0018614,0.0018614,0.0018614
16,688.003,2.71535,3.92606,2.16695,0.00585,0.36283,0.02168,0.00568,2.9892,4.10788,2.56886,0.0018515,0.0018515,0.0018515
17,730.424,2.75722,3.98911,2.29111,0.07312,0.02655,0.02346,0.00627,3.01846,4.33754,2.56538,0.0018416,0.0018416,0.0018416
18,773.207,2.82493,3.88836,2.36307,0.09136,0.07965,0.04346,0.01449,3.07529,4.27416,2.52287,0.0018317,0.0018317,0.0018317
19,815.881,2.81386,3.83675,2.24875,0.02911,0.30088,0.01939,0.00526,3.04132,4.17165,2.57189,0.0018218,0.0018218,0.0018218
20,858.026,2.72326,3.86128,2.27403,0.17918,0.06195,0.04562,0.0121,2.86674,3.97651,2.43446,0.0018119,0.0018119,0.0018119
21,899.978,2.67739,3.65875,2.14686,0.01023,0.34513,0.02472,0.00696,2.98153,4.20012,2.56509,0.001802,0.001802,0.001802
22,941.871,2.66314,3.58516,2.20378,0.01205,0.44248,0.05627,0.01979,2.91876,4.01901,2.55703,0.0017921,0.0017921,0.0017921
23,984.115,2.70109,3.7079,2.28069,0.35574,0.02655,0.03041,0.0106,2.98633,5.13793,2.6305,0.0017822,0.0017822,0.0017822
24,1026.29,2.80012,3.87101,2.33421,0.02462,0.31858,0.08553,0.02956,2.92599,4.43392,2.63633,0.0017723,0.0017723,0.0017723
25,1068.77,2.61938,3.67681,2.16694,0.01253,0.50442,0.05948,0.01805,2.86822,3.78317,2.46365,0.0017624,0.0017624,0.0017624
26,1111.21,2.58425,3.46596,2.12797,0.18973,0.06195,0.07327,0.02213,2.81637,3.55717,2.41434,0.0017525,0.0017525,0.0017525
27,1153.22,2.53882,3.56933,2.14165,0.60721,0.12389,0.14313,0.04987,2.73673,3.69696,2.44233,0.0017426,0.0017426,0.0017426
28,1195.8,2.50698,3.39701,2.06424,0.21326,0.14635,0.07033,0.02422,2.88901,3.56912,2.49796,0.0017327,0.0017327,0.0017327
29,1237.88,2.62973,3.50994,2.20469,0.25788,0.15044,0.10825,0.03388,2.68871,3.40375,2.41308,0.0017228,0.0017228,0.0017228
30,1280.12,2.60318,3.47473,2.18197,0.36335,0.16814,0.16263,0.04905,2.76226,3.30803,2.45296,0.0017129,0.0017129,0.0017129
31,1322.18,2.58207,3.35447,2.08188,0.40958,0.17699,0.15735,0.05656,2.7338,3.47597,2.38779,0.001703,0.001703,0.001703
32,1364.56,2.48859,3.34267,2.09337,0.44119,0.15929,0.18533,0.05094,2.81264,3.3865,2.44314,0.0016931,0.0016931,0.0016931
33,1406.56,2.52082,3.34784,2.08774,0.14252,0.04425,0.03143,0.0084,2.9893,3.95578,2.59384,0.0016832,0.0016832,0.0016832
34,1448.6,2.56227,3.28381,2.13247,0.21173,0.04425,0.02779,0.00941,3.22114,5.00564,2.71652,0.0016733,0.0016733,0.0016733
35,1490.63,2.49627,3.21812,2.11527,0.15806,0.16814,0.06947,0.02653,2.81437,3.36121,2.44978,0.0016634,0.0016634,0.0016634
36,1532.74,2.51584,3.19403,2.11437,0.22301,0.14987,0.11816,0.04819,2.60453,3.23901,2.30456,0.0016535,0.0016535,0.0016535
37,1575.3,2.53856,3.20897,2.08191,0.38397,0.25664,0.23958,0.08603,2.80916,3.26073,2.44369,0.0016436,0.0016436,0.0016436
38,1617.75,2.54703,3.38365,2.10448,0.50453,0.20354,0.23262,0.08549,2.68242,3.26198,2.38823,0.0016337,0.0016337,0.0016337
39,1659.8,2.42881,3.26539,2.04235,0.29778,0.21239,0.14966,0.05299,2.71294,3.2615,2.38725,0.0016238,0.0016238,0.0016238
40,1701.93,2.53757,3.3463,2.17497,0.17382,0.19469,0.10615,0.03406,2.67663,3.22003,2.36157,0.0016139,0.0016139,0.0016139
41,1744.03,2.39011,3.14481,2.05257,0.37837,0.23894,0.19842,0.08278,2.6096,3.17932,2.31889,0.001604,0.001604,0.001604
42,1786.19,2.47123,3.25516,2.06475,0.23361,0.24779,0.13733,0.05065,2.69487,3.31688,2.41718,0.0015941,0.0015941,0.0015941
43,1828.58,2.51854,3.21146,2.08438,0.19139,0.12389,0.10126,0.04012,2.68419,3.24966,2.30605,0.0015842,0.0015842,0.0015842
44,1871,2.4788,3.13921,2.07493,0.25167,0.18584,0.11995,0.03337,2.67067,3.3833,2.38668,0.0015743,0.0015743,0.0015743
45,1912.97,2.48057,3.13599,2.06162,0.3175,0.14159,0.11371,0.03286,2.80798,3.79052,2.43957,0.0015644,0.0015644,0.0015644
46,1954.93,2.45696,3.08172,1.99257,0.48958,0.18584,0.22309,0.0701,2.621,3.41555,2.4129,0.0015545,0.0015545,0.0015545
47,1996.71,2.34527,3.07436,1.98747,0.36366,0.23894,0.21037,0.0896,2.52017,3.15335,2.30928,0.0015446,0.0015446,0.0015446
48,2039.16,2.4423,3.12763,2.03082,0.14418,0.0885,0.04556,0.02542,2.76841,3.93529,2.38948,0.0015347,0.0015347,0.0015347
49,2081.52,2.45608,3.0603,2.03263,0.1308,0.23894,0.10805,0.0452,2.59353,3.37095,2.27444,0.0015248,0.0015248,0.0015248
50,2123.81,2.49528,3.05891,2.14983,0.30587,0.25738,0.17791,0.0754,2.54871,3.00351,2.28066,0.0015149,0.0015149,0.0015149
51,2165.92,2.44492,3.08082,2.0044,0.33143,0.32743,0.22008,0.08249,2.46476,2.76805,2.22664,0.001505,0.001505,0.001505
52,2207.82,2.41948,3.06231,2.05293,0.22889,0.25481,0.15064,0.05759,2.47199,3.01236,2.28479,0.0014951,0.0014951,0.0014951
53,2249.94,2.45331,3.00531,2.08605,0.38555,0.33628,0.28086,0.11877,2.45076,2.73976,2.23726,0.0014852,0.0014852,0.0014852
54,2292.4,2.41307,3.00529,1.98718,0.40328,0.28319,0.27106,0.10404,2.59526,2.98999,2.30123,0.0014753,0.0014753,0.0014753
55,2334.45,2.37118,2.97045,1.97263,0.46845,0.31858,0.27871,0.13139,2.39562,2.76759,2.1984,0.0014654,0.0014654,0.0014654
56,2376.93,2.39913,2.996,2.05027,0.51491,0.32743,0.31714,0.12904,2.43646,2.82397,2.23128,0.0014555,0.0014555,0.0014555
57,2419.19,2.40941,2.95906,2.03431,0.2787,0.26549,0.17007,0.05993,2.53167,3.02858,2.24927,0.0014456,0.0014456,0.0014456
58,2461.38,2.31868,3.0055,1.94053,0.40461,0.31858,0.27532,0.13377,2.39894,2.76048,2.17585,0.0014357,0.0014357,0.0014357
59,2503.79,2.2685,2.69294,1.86675,0.32069,0.25664,0.16257,0.0652,2.48525,3.13694,2.21646,0.0014258,0.0014258,0.0014258
60,2546.18,2.42187,2.8661,2.03432,0.44354,0.36283,0.32446,0.13828,2.34641,2.61115,2.18794,0.0014159,0.0014159,0.0014159
61,2588.69,2.3514,2.75709,2.03237,0.40895,0.3184,0.28833,0.10255,2.37077,2.72992,2.19296,0.001406,0.001406,0.001406
62,2630.99,2.2952,2.75202,1.96529,0.46872,0.32012,0.26505,0.11236,2.44849,2.57167,2.24855,0.0013961,0.0013961,0.0013961
63,2673.2,2.40585,2.91388,2.05159,0.29059,0.20354,0.18141,0.07242,2.53712,2.96258,2.2748,0.0013862,0.0013862,0.0013862
64,2715.72,2.37506,2.77525,1.97743,0.41194,0.38053,0.31774,0.14753,2.36534,2.58126,2.16151,0.0013763,0.0013763,0.0013763
65,2758.31,2.29834,2.75809,1.91843,0.44027,0.37168,0.31465,0.13185,2.30116,2.78506,2.11809,0.0013664,0.0013664,0.0013664
66,2800.42,2.34694,2.76609,1.92445,0.49581,0.27852,0.29145,0.12371,2.41633,2.82072,2.18299,0.0013565,0.0013565,0.0013565
67,2842.49,2.24993,2.69942,1.89186,0.37199,0.26549,0.2216,0.09221,2.38053,2.83542,2.20097,0.0013466,0.0013466,0.0013466
68,2884.67,2.34804,2.7314,1.93707,0.38069,0.34513,0.28328,0.13249,2.31033,2.69496,2.12981,0.0013367,0.0013367,0.0013367
69,2927.02,2.38049,2.86919,2.01737,0.45809,0.33628,0.34295,0.16111,2.31879,2.56427,2.10073,0.0013268,0.0013268,0.0013268
70,2969.56,2.35732,2.78489,2.04938,0.37165,0.37168,0.28615,0.11861,2.44077,2.61592,2.22546,0.0013169,0.0013169,0.0013169
